category,scientific_name,common_names,conservation_status,primary_common_name
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Not Evaluated,Gapper's Red-Backed Vole
Mammal,Bos bison,"American Bison, Bison",Not Evaluated,American Bison
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Not Evaluated,Aurochs
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Not Evaluated,Domestic Sheep
Mammal,Cervus elaphus,Wapiti Or Elk,Not Evaluated,Wapiti Or Elk
Mammal,Odocoileus virginianus,White-Tailed Deer,Not Evaluated,White-Tailed Deer
Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not Evaluated,Feral Hog
Mammal,Canis latrans,Coyote,Species of Concern,Coyote
Mammal,Canis lupus,Gray Wolf,Endangered,Gray Wolf
Mammal,Canis rufus,Red Wolf,Endangered,Red Wolf
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not Evaluated,Common Gray Fox
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Not Evaluated,Black Fox
Mammal,Vulpes vulpes,Red Fox,Not Evaluated,Red Fox
Mammal,Felis concolor,Mountain Lion,Not Evaluated,Mountain Lion
Mammal,Felis silvestris,"Wild Cat, Wildcat",Not Evaluated,Wild Cat
Mammal,Lynx rufus,Bobcat,Not Evaluated,Bobcat
Mammal,Puma concolor,Panther (Mountain Lion),Not Evaluated,Panther (Mountain Lion)
Mammal,Mephitis mephitis,Striped Skunk,Not Evaluated,Striped Skunk
Mammal,Spilogale putorius,Eastern Spotted Skunk,Not Evaluated,Eastern Spotted Skunk
Mammal,Lontra canadensis,River Otter,Not Evaluated,River Otter
Mammal,Lutra canadensis,Northern River Otter,Not Evaluated,Northern River Otter
Mammal,Martes pennanti,Fisher,Not Evaluated,Fisher
Mammal,Mustela,Mink (Or Weasel),Not Evaluated,Mink (Or Weasel)
Mammal,Mustela frenata,Long-Tailed Weasel,Not Evaluated,Long-Tailed Weasel
Mammal,Mustela nivalis,Least Weasel,Not Evaluated,Least Weasel
Mammal,Mustela vison,Mink,Not Evaluated,Mink
Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not Evaluated,Common Raccoon
Mammal,Ursus americanus,Black Bear,Not Evaluated,Black Bear
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Not Evaluated,Rafinesque's Big-Eared Bat
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Big Brown Bat
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Silver-Haired Bat
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Not Evaluated,Eastern Red Bat
Mammal,Lasiurus cinereus,Hoary Bat,Not Evaluated,Hoary Bat
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,Mississippi Myotis
Mammal,Myotis grisescens,Gray Myotis,Endangered,Gray Myotis
Mammal,Myotis keenii,Keen's Myotis,Species of Concern,Keen's Myotis
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,Eastern Small-Footed Bat
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Little Brown Bat
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,Northern Long-Eared Bat
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,Indiana Bat
Mammal,Nycticeius humeralis,Evening Bat,Not Evaluated,Evening Bat
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Not Evaluated,Eastern Pipistrelle
Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Not Evaluated,Virginia Opossum
Mammal,Lepus americanus,Snowshoe Hare,Not Evaluated,Snowshoe Hare
Mammal,Sylvilagus floridanus,Eastern Cottontail,Not Evaluated,Eastern Cottontail
Mammal,Sylvilagus obscurus,Appalachian Cottontail,Not Evaluated,Appalachian Cottontail
Mammal,Sylvilagus transitionalis,New England Cottontail,Not Evaluated,New England Cottontail
Mammal,Equus caballus,"Feral Horse, Horse",Not Evaluated,Feral Horse
Mammal,Homo sapiens,"Human, Humans, Man",Not Evaluated,Human
Mammal,Castor canadensis,"American Beaver, Beaver",Not Evaluated,American Beaver
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Not Evaluated,Southern Red-Backed Vole
Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Not Evaluated,Rock Vole
Mammal,Microtus pennsylvanicus,Meadow Vole,Not Evaluated,Meadow Vole
Mammal,Microtus pinetorum,Woodland Vole,Not Evaluated,Woodland Vole
Mammal,Neotoma floridana,Eastern Woodrat,Not Evaluated,Eastern Woodrat
Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",Not Evaluated,Allegheny Woodrat
Mammal,Ochrotomys nuttalli,Golden Mouse,Not Evaluated,Golden Mouse
Mammal,Ondatra zibethicus,Muskrat,Not Evaluated,Muskrat
Mammal,Oryzomys palustris,Marsh Rice Rat,Not Evaluated,Marsh Rice Rat
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,Not Evaluated,Marsh Rice Rat
Mammal,Peromyscus gossypinus,Cotton Mouse,Not Evaluated,Cotton Mouse
Mammal,Peromyscus leucopus,White-Footed Mouse,Not Evaluated,White-Footed Mouse
Mammal,Peromyscus maniculatus,Deer Mouse,Not Evaluated,Deer Mouse
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,Not Evaluated,Eastern Harvest Mouse
Mammal,Synaptomys cooperi,Southern Bog Lemming,Not Evaluated,Southern Bog Lemming
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,Not Evaluated,Stone's Southern Bog Lemming
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,Not Evaluated,Woodland Jumping Mouse
Mammal,Zapus hudsonius,Meadow Jumping Mouse,Not Evaluated,Meadow Jumping Mouse
Mammal,Erethizon dorsatum,"Common Porcupine, Porcupine",Not Evaluated,Common Porcupine
Mammal,Mus musculus,House Mouse,Not Evaluated,House Mouse
Mammal,Rattus norvegicus,Norway Rat,Not Evaluated,Norway Rat
Mammal,Rattus rattus,Black Rat,Not Evaluated,Black Rat
Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered,Carolina Northern Flying Squirrel
Mammal,Glaucomys volans,Southern Flying Squirrel,Not Evaluated,Southern Flying Squirrel
Mammal,Marmota monax,Woodchuck,Not Evaluated,Woodchuck
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",Not Evaluated,Eastern Gray Squirrel
Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",Not Evaluated,Eastern Fox Squirrel
Mammal,Tamias striatus,Eastern Chipmunk,Not Evaluated,Eastern Chipmunk
Mammal,Tamiasciurus hudsonicus,Red Squirrel,Not Evaluated,Red Squirrel
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Not Evaluated,Northern Short Tailed Shrew
Mammal,Cryptotis parva,Least Shrew,Not Evaluated,Least Shrew
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew",Not Evaluated,Common Shrew
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",Not Evaluated,Long-Tailed Or Rock Shrew
Mammal,Sorex fumeus,Smoky Shrew,Not Evaluated,Smoky Shrew
Mammal,Sorex hoyi,Pygmy Shrew,Not Evaluated,Pygmy Shrew
Mammal,Sorex longirostris,Southeastern Shrew,Not Evaluated,Southeastern Shrew
Mammal,Sorex palustris,Water Shrew,Not Evaluated,Water Shrew
Mammal,Condylura cristata,Star-Nosed Mole,Not Evaluated,Star-Nosed Mole
Mammal,Parascalops breweri,Hairy-Tailed Mole,Not Evaluated,Hairy-Tailed Mole
Mammal,Scalopus aquaticus,Eastern Mole,Not Evaluated,Eastern Mole
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,Not Evaluated,Brewster's Warbler
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern,Cooper's Hawk
Bird,Accipiter gentilis,Northern Goshawk,Not Evaluated,Northern Goshawk
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern,Sharp-Shinned Hawk
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern,Golden Eagle
Bird,Buteo jamaicensis,Red-Tailed Hawk,Not Evaluated,Red-Tailed Hawk
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern,Red-Shouldered Hawk
Bird,Buteo platypterus,Broad-Winged Hawk,Not Evaluated,Broad-Winged Hawk
Bird,Circus cyaneus,Northern Harrier,Species of Concern,Northern Harrier
Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern,American Swallow-Tailed Kite
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery,Bald Eagle
Bird,Ictinia mississippiensis,Mississippi Kite,Not Evaluated,Mississippi Kite
Bird,Cathartes aura,Turkey Vulture,Species of Concern,Turkey Vulture
Bird,Coragyps atratus,Black Vulture,Not Evaluated,Black Vulture
Bird,Pandion haliaetus,Osprey,Species of Concern,Osprey
Bird,Aix sponsa,Wood Duck,Not Evaluated,Wood Duck
Bird,Anas acuta,Northern Pintail,Not Evaluated,Northern Pintail
Bird,Anas americana,American Wigeon,Not Evaluated,American Wigeon
Bird,Anas clypeata,Northern Shoveler,Not Evaluated,Northern Shoveler
Bird,Anas crecca,Green-Winged Teal,Not Evaluated,Green-Winged Teal
Bird,Anas discors,Blue-Winged Teal,Not Evaluated,Blue-Winged Teal
Bird,Anas platyrhynchos,Mallard,Not Evaluated,Mallard
Bird,Anas rubripes,American Black Duck,Not Evaluated,American Black Duck
Bird,Aythya affinis,Lesser Scaup,Species of Concern,Lesser Scaup
Bird,Aythya americana,Redhead,Not Evaluated,Redhead
Bird,Aythya collaris,Ring-Necked Duck,Not Evaluated,Ring-Necked Duck
Bird,Branta bernicla,Brant,Not Evaluated,Brant
Bird,Branta canadensis,Canada Goose,Not Evaluated,Canada Goose
Bird,Bucephala albeola,Bufflehead,Not Evaluated,Bufflehead
Bird,Bucephala clangula,Common Goldeneye,Not Evaluated,Common Goldeneye
Bird,Chen caerulescens,Snow Goose,Not Evaluated,Snow Goose
Bird,Histrionicus histrionicus,Harlequin Duck,Not Evaluated,Harlequin Duck
Bird,Lophodytes cucullatus,Hooded Merganser,Not Evaluated,Hooded Merganser
Bird,Melanitta deglandi,White-Winged Scoter,Not Evaluated,White-Winged Scoter
Bird,Melanitta fusca,White-Winged Scoter,Not Evaluated,White-Winged Scoter
Bird,Melanitta nigra,Black Scoter,Not Evaluated,Black Scoter
Bird,Mergus merganser,Common Merganser,Not Evaluated,Common Merganser
Bird,Mergus serrator,Red-Breasted Merganser,Not Evaluated,Red-Breasted Merganser
Bird,Oxyura jamaicensis,Ruddy Duck,Not Evaluated,Ruddy Duck
Bird,Chaetura pelagica,Chimney Swift,Not Evaluated,Chimney Swift
Bird,Archilochus colubris,Ruby-Throated Hummingbird,Not Evaluated,Ruby-Throated Hummingbird
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,Not Evaluated,Chuck-Will's-Widow
Bird,Caprimulgus vociferus,Whip-Poor-Will,Not Evaluated,Whip-Poor-Will
Bird,Chordeiles minor,Common Nighthawk,Not Evaluated,Common Nighthawk
Bird,Charadrius semipalmatus,Semipalmated Plover,Not Evaluated,Semipalmated Plover
Bird,Charadrius vociferus,Killdeer,Not Evaluated,Killdeer
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",Not Evaluated,American Golden-Plover
Bird,Chlidonias niger,Black Tern,Species of Concern,Black Tern
Bird,Larus argentatis,Herring Gull,Not Evaluated,Herring Gull
Bird,Larus atricilla,Laughing Gull,Species of Concern,Laughing Gull
Bird,Larus delawarensis,Ring-Billed Gull,Not Evaluated,Ring-Billed Gull
Bird,Larus philadelphia,Bonaparte's Gull,Not Evaluated,Bonaparte's Gull
Bird,Sterna fuscata,Sooty Tern,Not Evaluated,Sooty Tern
Bird,Actitis macularia,Spotted Sandpiper,Not Evaluated,Spotted Sandpiper
Bird,Calidris minutilla,Least Sandpiper,Not Evaluated,Least Sandpiper
Bird,Calidris pusilla,Semipalmated Sandpiper,Not Evaluated,Semipalmated Sandpiper
Bird,Catoptrophorus semipalmatus,Willet,Not Evaluated,Willet
Bird,Gallinago gallinago,Common Snipe,Not Evaluated,Common Snipe
Bird,Limnodromus griseus,Short-Billed Dowitcher,Not Evaluated,Short-Billed Dowitcher
Bird,Phalaropus fulicarius,Red Phalarope,Not Evaluated,Red Phalarope
Bird,Phalaropus lobatus,Red-Necked Phalarope,Not Evaluated,Red-Necked Phalarope
Bird,Philomachus pugnax,Ruff,Not Evaluated,Ruff
Bird,Scolopax minor,American Woodcock,Not Evaluated,American Woodcock
Bird,Tringa flavipes,Lesser Yellowlegs,Not Evaluated,Lesser Yellowlegs
Bird,Tringa melanoleuca,Greater Yellowlegs,Not Evaluated,Greater Yellowlegs
Bird,Tringa solitaria,Solitary Sandpiper,Not Evaluated,Solitary Sandpiper
Bird,Columba livia,Rock Dove,Not Evaluated,Rock Dove
Bird,Ectopistes migratorius,Passenger Pigeon,Not Evaluated,Passenger Pigeon
Bird,Zenaida macroura,Mourning Dove,Not Evaluated,Mourning Dove
Bird,Ceryle alcyon,Belted Kingfisher,Not Evaluated,Belted Kingfisher
Bird,Ceryle torquata,Ringed Kingfisher,Not Evaluated,Ringed Kingfisher
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,Not Evaluated,Yellow-Billed Cuckoo
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern,Black-Billed Cuckoo
Bird,Falco columbarius,Merlin,Species of Concern,Merlin
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern,Peregrine Falcon
Bird,Falco sparverius,American Kestrel,Not Evaluated,American Kestrel
Bird,Colinus virginianus,Northern Bobwhite,Not Evaluated,Northern Bobwhite
Bird,Alectoris chukar,Chukar,Not Evaluated,Chukar
Bird,Bonasa umbellus,Ruffed Grouse,Not Evaluated,Ruffed Grouse
Bird,Meleagris gallopavo,Wild Turkey,Not Evaluated,Wild Turkey
Bird,Pavo cristatus,Peacock,Not Evaluated,Peacock
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",Not Evaluated,Common Pheasant
Bird,Gavia immer,Common Loon,Species of Concern,Common Loon
Bird,Grus americana,Whooping Crane,Endangered,Whooping Crane
Bird,Grus canadensis,Sandhill Crane,Not Evaluated,Sandhill Crane
Bird,Fulica americana,American Coot,Not Evaluated,American Coot
Bird,Gallinula chloropus,Common Moorhen,Not Evaluated,Common Moorhen
Bird,Porzana carolina,Sora,Not Evaluated,Sora
Bird,Rallus elegans,King Rail,Species of Concern,King Rail
Bird,Rallus limicola,Virginia Rail,Not Evaluated,Virginia Rail
Bird,Eremophila alpestris,Horned Lark,Not Evaluated,Horned Lark
Bird,Bombycilla cedrorum,Cedar Waxwing,Not Evaluated,Cedar Waxwing
Bird,Calcarius ornatus,Chestnut-Collared Longspur,Not Evaluated,Chestnut-Collared Longspur
Bird,Plectrophenax nivalis,Snow Bunting,Not Evaluated,Snow Bunting
Bird,Cardinalis cardinalis,Northern Cardinal,Not Evaluated,Northern Cardinal
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern,Blue Grosbeak
Bird,Passerina cyanea,Indigo Bunting,Not Evaluated,Indigo Bunting
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,Not Evaluated,Rose-Breasted Grosbeak
Bird,Piranga olivacea,Scarlet Tanager,Not Evaluated,Scarlet Tanager
Bird,Piranga rubra,Summer Tanager,Species of Concern,Summer Tanager
Bird,Spiza americana,Dickcissel,Not Evaluated,Dickcissel
Bird,Certhia americana,Brown Creeper,Species of Concern,Brown Creeper
Bird,Certhia familiaris,Eurasian Treecreeper,Not Evaluated,Eurasian Treecreeper
Bird,Corvus brachyrhynchos,American Crow,Not Evaluated,American Crow
Bird,Corvus corax,Common Raven,Not Evaluated,Common Raven
Bird,Cyanocitta cristata,Blue Jay,Not Evaluated,Blue Jay
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern,Bachman's Sparrow
Bird,Ammodramus henslowii,Henslow's Sparrow,Not Evaluated,Henslow's Sparrow
Bird,Ammodramus leconteii,Le Conte's Sparrow,Not Evaluated,Le Conte's Sparrow
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern,Grasshopper Sparrow
Bird,Chondestes grammacus,Lark Sparrow,Not Evaluated,Lark Sparrow
Bird,Junco hyemalis,Dark-Eyed Junco,Not Evaluated,Dark-Eyed Junco
Bird,Melospiza georgiana,Swamp Sparrow,Not Evaluated,Swamp Sparrow
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern,Lincoln's Sparrow
Bird,Melospiza melodia,Song Sparrow,Not Evaluated,Song Sparrow
Bird,Passerculus sandwichensis,Savannah Sparrow,Not Evaluated,Savannah Sparrow
Bird,Passerella iliaca,Fox Sparrow,Not Evaluated,Fox Sparrow
Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",Not Evaluated,Eastern Towhee
Bird,Pooecetes gramineus,Vesper Sparrow,Not Evaluated,Vesper Sparrow
Bird,Spizella arborea,American Tree Sparrow,Not Evaluated,American Tree Sparrow
Bird,Spizella passerina,Chipping Sparrow,Not Evaluated,Chipping Sparrow
Bird,Spizella pusilla,Field Sparrow,Not Evaluated,Field Sparrow
Bird,Zonotrichia albicollis,White-Throated Sparrow,Not Evaluated,White-Throated Sparrow
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,Not Evaluated,Golden-Crowned Sparrow
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,Not Evaluated,White-Crowned Sparrow
Bird,Carduelis flammea,Common Redpoll,Not Evaluated,Common Redpoll
Bird,Carduelis pinus,Pine Siskin,Not Evaluated,Pine Siskin
Bird,Carduelis tristis,American Goldfinch,Not Evaluated,American Goldfinch
Bird,Carpodacus mexicanus,House Finch,Not Evaluated,House Finch
Bird,Carpodacus purpureus,Purple Finch,Not Evaluated,Purple Finch
Bird,Coccothraustes vespertinus,Evening Grosbeak,Not Evaluated,Evening Grosbeak
Bird,Loxia curvirostra,Red Crossbill,Species of Concern,Red Crossbill
Bird,Loxia leucoptera,White-Winged Crossbill,Not Evaluated,White-Winged Crossbill
Bird,Hirundo rustica,Barn Swallow,Not Evaluated,Barn Swallow
Bird,Petrochelidon pyrrhonota,Cliff Swallow,Not Evaluated,Cliff Swallow
Bird,Progne subis,Purple Martin,Species of Concern,Purple Martin
Bird,Riparia riparia,Bank Swallow,Species of Concern,Bank Swallow
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Not Evaluated,Northern Rough-Winged Swallow
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern,Tree Swallow
Bird,Agelaius phoeniceus,Red-Winged Blackbird,Not Evaluated,Red-Winged Blackbird
Bird,Dolichonyx oryzivorus,Bobolink,Not Evaluated,Bobolink
Bird,Euphagus carolinus,Rusty Blackbird,Not Evaluated,Rusty Blackbird
Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",Not Evaluated,Baltimore Oriole
Bird,Icterus spurius,Orchard Oriole,Not Evaluated,Orchard Oriole
Bird,Molothrus ater,Brown-Headed Cowbird,Not Evaluated,Brown-Headed Cowbird
Bird,Quiscalus quiscula,Common Grackle,Not Evaluated,Common Grackle
Bird,Sturnella magna,Eastern Meadowlark,Not Evaluated,Eastern Meadowlark
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,Not Evaluated,Yellow-Headed Blackbird
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern,Loggerhead Shrike
Bird,Dumetella carolinensis,Gray Catbird,Not Evaluated,Gray Catbird
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird",Not Evaluated,Mockingbird
Bird,Toxostoma rufum,Brown Thrasher,Not Evaluated,Brown Thrasher
Bird,Anthus rubescens,Water Pipit,Not Evaluated,Water Pipit
Bird,Anthus spinoletta,Water Pipit,Not Evaluated,Water Pipit
Bird,Baeolophus bicolor,Tufted Titmouse,Not Evaluated,Tufted Titmouse
Bird,Poecile atricapillus,Black-Capped Chickadee,Not Evaluated,Black-Capped Chickadee
Bird,Poecile carolinensis,Carolina Chickadee,Not Evaluated,Carolina Chickadee
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,Not Evaluated,Black-Throated Blue Warbler
Bird,Dendroica castanea,Bay-Breasted Warbler,Not Evaluated,Bay-Breasted Warbler
Bird,Dendroica cerulea,Cerulean Warbler,Not Evaluated,Cerulean Warbler
Bird,Dendroica coronata,Yellow-Rumped Warbler,Not Evaluated,Yellow-Rumped Warbler
Bird,Dendroica discolor,Prairie Warbler,Not Evaluated,Prairie Warbler
Bird,Dendroica dominica,Yellow-Throated Warbler,Not Evaluated,Yellow-Throated Warbler
Bird,Dendroica fusca,Blackburnian Warbler,Not Evaluated,Blackburnian Warbler
Bird,Dendroica magnolia,Magnolia Warbler,Not Evaluated,Magnolia Warbler
Bird,Dendroica palmarum,Palm Warbler,Not Evaluated,Palm Warbler
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,Not Evaluated,Chestnut-Sided Warbler
Bird,Dendroica petechia,Yellow Warbler,Not Evaluated,Yellow Warbler
Bird,Dendroica pinus,Pine Warbler,Not Evaluated,Pine Warbler
Bird,Dendroica striata,Blackpoll Warbler,Not Evaluated,Blackpoll Warbler
Bird,Dendroica tigrina,Cape May Warbler,Not Evaluated,Cape May Warbler
Bird,Dendroica virens,Black-Throated Green Warbler,Not Evaluated,Black-Throated Green Warbler
Bird,Geothlypis trichas,Common Yellowthroat,Not Evaluated,Common Yellowthroat
Bird,Helmitheros vermivorus,Worm-Eating Warbler,Not Evaluated,Worm-Eating Warbler
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern,Yellow-Breasted Chat
Bird,Limnothlypis swainsonii,Swainson's Warbler,Not Evaluated,Swainson's Warbler
Bird,Mniotilta varia,Black-And-White Warbler,Not Evaluated,Black-And-White Warbler
Bird,Oporornis agilis,Connecticut Warbler,Not Evaluated,Connecticut Warbler
Bird,Oporornis formosus,Kentucky Warbler,Not Evaluated,Kentucky Warbler
Bird,Oporornis philadelphia,Mourning Warbler,Not Evaluated,Mourning Warbler
Bird,Parula americana,Northern Parula,Not Evaluated,Northern Parula
Bird,Protonotaria citrea,Prothonotary Warbler,Not Evaluated,Prothonotary Warbler
Bird,Seiurus aurocapilla,Ovenbird,Not Evaluated,Ovenbird
Bird,Seiurus motacilla,Louisiana Waterthrush,Not Evaluated,Louisiana Waterthrush
Bird,Seiurus noveboracensis,Northern Waterthrush,Not Evaluated,Northern Waterthrush
Bird,Setophaga ruticilla,American Redstart,Not Evaluated,American Redstart
Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered,Bachman's Warbler
Bird,Vermivora celata,Orange-Crowned Warbler,Not Evaluated,Orange-Crowned Warbler
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,Not Evaluated,Brewster's Warbler
Bird,Vermivora lawrencei,Lawrence's Warbler,Not Evaluated,Lawrence's Warbler
Bird,Vermivora lawrencii,Lawrence's Warbler,Not Evaluated,Lawrence's Warbler
Bird,Vermivora leucobronchialis,Brewster's Warbler,Not Evaluated,Brewster's Warbler
Bird,Vermivora peregrina,Tennessee Warbler,Not Evaluated,Tennessee Warbler
Bird,Vermivora pinus,Blue-Winged Warbler,Not Evaluated,Blue-Winged Warbler
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern,Nashville Warbler
Bird,Wilsonia canadensis,Canada Warbler,Not Evaluated,Canada Warbler
Bird,Wilsonia citrina,Hooded Warbler,Not Evaluated,Hooded Warbler
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern,Wilson's Warbler
Bird,Passer domesticus,House Sparrow,Not Evaluated,House Sparrow
Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,Not Evaluated,Blue-Gray Gnatcatcher
Bird,Regulus calendula,Ruby-Crowned Kinglet,Not Evaluated,Ruby-Crowned Kinglet
Bird,Regulus satrapa,Golden-Crowned Kinglet,Not Evaluated,Golden-Crowned Kinglet
Bird,Sitta canadensis,Red-Breasted Nuthatch,Not Evaluated,Red-Breasted Nuthatch
Bird,Sitta carolinensis,White-Breasted Nuthatch,Not Evaluated,White-Breasted Nuthatch
Bird,Sturnus vulgaris,European Starling,Not Evaluated,European Starling
Bird,Cistothorus palustris,Marsh Wren,Not Evaluated,Marsh Wren
Bird,Cistothorus platensis,Sedge Wren,Not Evaluated,Sedge Wren
Bird,Thryomanes bewickii,Bewick's Wren,Not Evaluated,Bewick's Wren
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern,Appalachian Bewick's Wren
Bird,Thryothorus ludovicianus,Carolina Wren,Not Evaluated,Carolina Wren
Bird,Troglodytes aedon,House Wren,Not Evaluated,House Wren
Bird,Troglodytes troglodytes,Winter Wren,Not Evaluated,Winter Wren
Bird,Catharus fuscescens,Veery,Not Evaluated,Veery
Bird,Catharus guttatus,Hermit Thrush,Not Evaluated,Hermit Thrush
Bird,Catharus minimus,Gray-Cheeked Thrush,Not Evaluated,Gray-Cheeked Thrush
Bird,Catharus ustulatus,Swainson's Thrush,Not Evaluated,Swainson's Thrush
Bird,Hylocichla mustelina,Wood Thrush,Not Evaluated,Wood Thrush
Bird,Sialia sialis,Eastern Bluebird,Not Evaluated,Eastern Bluebird
Bird,Turdus migratorius,American Robin,Not Evaluated,American Robin
Bird,Contopus borealis,Olive-Sided Flycatcher,Not Evaluated,Olive-Sided Flycatcher
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern,Olive-Sided Flycatcher
Bird,Contopus virens,Eastern Wood-Pewee,Not Evaluated,Eastern Wood-Pewee
Bird,Empidonax alnorum,Alder Flycatcher,Not Evaluated,Alder Flycatcher
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,Not Evaluated,Yellow-Bellied Flycatcher
Bird,Empidonax minimus,Least Flycatcher,Not Evaluated,Least Flycatcher
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern,Willow Flycatcher
Bird,Empidonax virescens,Acadian Flycatcher,Not Evaluated,Acadian Flycatcher
Bird,Myiarchus crinitus,Great Crested Flycatcher,Not Evaluated,Great Crested Flycatcher
Bird,Sayornis phoebe,Eastern Phoebe,Not Evaluated,Eastern Phoebe
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,Not Evaluated,Scissor-Tailed Flycatcher
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,Not Evaluated,Scissor-Tailed Flycatcher
Bird,Tyrannus tyrannus,Eastern Kingbird,Not Evaluated,Eastern Kingbird
Bird,Tyrannus verticalis,Western Kingbird,Not Evaluated,Western Kingbird
Bird,Vireo flavifrons,Yellow-Throated Vireo,Not Evaluated,Yellow-Throated Vireo
Bird,Vireo gilvus,Warbling Vireo,Not Evaluated,Warbling Vireo
Bird,Vireo griseus,White-Eyed Vireo,Not Evaluated,White-Eyed Vireo
Bird,Vireo olivaceus,Red-Eyed Vireo,Not Evaluated,Red-Eyed Vireo
Bird,Vireo philadelphicus,Philadelphia Vireo,Not Evaluated,Philadelphia Vireo
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo",Not Evaluated,Blue-Headed Vireo
Bird,Ardea alba,Great Egret,Not Evaluated,Great Egret
Bird,Ardea albus,Great Egret,Not Evaluated,Great Egret
